ID	VARID	DOCULECT	GLOSS	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	VALUE_ORG	SINGULAR	PLURAL	FORM	PARSED FORM	RECONSTRUCTION	CONCEPT	POS
1	0	BankanTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	jáwdì-m\\jáwdì, dá:bà-m\\dá:bà	jáwdì-m	jáwdì				LIVESTOCK	noun
1	1	BankanTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	jáwdì-m\\jáwdì, dá:bà-m\\dá:bà	dá:bà-m	dá:bà				LIVESTOCK	noun
2	0	BenTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àrsɛ̌:-m\\àrsɛ̌:	àrsɛ̌:-m	àrsɛ̌:				LIVESTOCK	noun
3	0	Bunoge	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	kɔ́mbɔ̀	kɔ́mbɔ̀	kɔmbɔ=gè				LIVESTOCK	noun
4	0	DogulDomBendiely	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀-g	bɛlɛ-g-yà				LIVESTOCK	noun
4	1	DogulDomBendiely	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀-gù	bɛlɛ-gi-yà				LIVESTOCK	noun
5	0	DonnoSo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ̀lú	bɛ̀lú	bɛ̀lú				LIVESTOCK	noun
5	1	DonnoSo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ̀lú	bɛ̀lú	bɛ̀lú=mbè				LIVESTOCK	noun
6	0	JamsayGourou	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gàrsɛ̀gɛ́	gàr sɛ̀gɛ́	gàr sɛ̀gɛ́				LIVESTOCK	noun
7	0	JamsayDouentza	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́, gàsɛ̀gɛ́	à sɛ̀gɛ́	à sɛ̀gɛ́=bé			*garu- sɛgɛ / *garu- sɛgɛ -mbo	LIVESTOCK	noun
