code (Eng);subcode (Eng);code (fr);sous-code (fr);code #;subcode #;subsubcode #;short;court;ref#;jpg;video;date;comment;English;français;core;Toro Tegu (Toupere, JH);Ben Tey (Beni, JH);Bankan-Tey (Walo, JH);Nanga (Anda, JH);Donno So;Jamsay (alphabet);Jamsay (Douentza area, JH);Perge Tegu (Pergué, JH);Gourou (Kiri, JH);Jamsay (Mondoro, JH);Togo-Kan (Koporo-pen, JH with BT);Yorno So (Yendouma, JH);Tomo Kan (Segue);Tomo Kan (Diangassagou);Tommo-So (JH);Tommo-So (Tongo Tongo, LM);Dogul Dom (Kundialang, JH);Dogul Dom (Bendiely & Kundialang, BC);Tebul Ure (JH);Yanda Dom (Yanda, JH);Najamba (Kubewel-Adia, JH);Tiranige;Mombo (Songho, KP);Ampari (Nando, KP);Bunoge (Boudou);Penange (Pinia);@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;livestock;animal;bétail;1;1;1;animal;animal;00001;;;old;;domestic animal (esp. livestock);animal domestique (surtout bétail);1;a?ru?za?ka? ~ a?rza?ga?;a?rs??:-m\\a?rs??:;ja?wdi?-m\\ja?wdi?, da?:ba?-m\\da?:ba?;ga?s??g??;b??lu?;as?g?,gas?g?;a?s??g??, ga?s??g??;a?s??g??;ga?rs??g??;a?s??g??;gi?r?i? a?ru?s??g??;a?ru?s??g??;da?:ba?, by?? (X by??);da?:ba?:;;gi?n??-y? b??lu?, b??lu?;;b??l??g, b??l??gu?;a?s??g??\\a?s??g??-mb??, ga?s??g??\\ga?s??g??-mb??;a?z??g??\\-mu? ~ a?s??g??\\-mu?;du?m??-?go?\\du?m??:;be?l (Boui);de?bu? b??li?, b??li?;;k??mb??;da?:ba?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;livestock;animal;bétail;1;1;2;livestock;bétail;00002;;;old;;(sb's) livestock (collective);bétail (l'ensemble des animaux domestiques, de qn);3;;ja?wdu?;ja?wdi?;ja?wdi?;;jawdi,gas?g?urugo;ja?wdi?, ga?s??g?? u?ru?go?;;;;a?ru?s??g??, a?s??g??;b??l;;;;b??lu?;;b??l??g, b??l??gu?;za?wdu?;ja?wdi?;po?:n, du?m??:;b??li? (Ningo);b??li? de?bu?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;livestock;animal;bétail;1;1;3;favorite;favori;00003;;;old;;(young herder's) favorite livestock animal (kept apart from herd);animal favori (d'un jeune berger, gardé à l'écart du troupeau);3;ga?fe?l;ga?be?l;ga?fe?l;ga?be?ri?;;gapel;ga?pe?l;;;;;X-di?nu? (after animal name);;;;[X] di?nnu?, ga?pe?l;;;;ga?be?l;ga?fe?l\\ga?fe?l-mbo?;?je?le?ba?;ja?rni?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;camel;animal;chameau;1;2;1;camel;chameau;00004;;;old;;camel;chameau;1;???;??:?u?w???-m;??:????-m\\??:????;??g??-??????;?????-yo??o?;?g??u?o;?????-?u??o?;??g??-?u?w?o?;?????-y?u?w?o?;;??g??-???;??g??-y??:?;??????m??;??????m??;xxx;?o??o?m;y???m??;y???ùm??;??g????????\\??g????????-mb??;??g??-??????\\-mu?;???????m??\\??????:-mbo?;ga?:na?;??????m??;;??????m??;???:m??y?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cat;animal;chat;1;3;1;cat;chat;00005;;;old;;cat;chat;1;ni?w?a?;ni?-ni?w???-m\\ni?-ni?w???;nu?ma?-m\\nu?ma?;do?ndi?ye?;ga?mma?;niniw?e;ni?-ni?w?e?;ni?-ni?w?e?;ni?ni?w?e?;;do?no?;ga?ma?;do?ndo?;do?ndo?;xxx;ga?mma?;ga?:? (ga?:? ya?:);ga?a??;ba?lma?\\ba?lma?-mb??;ga?:?\\-mu?;ga??a?\\ga??a?-mbo?;na?:\\na?:-ge?;ga?:w?e?;;?a?:li?;ga?:?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;1;cow, bull;vache, bœuf;00006;;;old;;cow, bull (any bovine);bovin (vache ou taureau);1;na??a?;na?:-m\\na?:;na?:-m\\na?:;na??a?;na??a?;na?a;na??a?;na??a?;na??a?;;na??a?;na?:;na???a?;na??a?;;na?a?;na?:g (na?:gu?);na?a?gu?;na?:\\na?:-mb??;na?:\\-mu?;n??:\\na?wo?:;i?:?j?? (Boui);na?:;;na? (na?: n??);na?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;2;calf;veau;00007;;;old;;calf;veau;2;na??a?-[i?r?-i?:];na?: yi?-m;na?:-yi?-m\\na?:-yi?:;na??a? yi?:;na??a?-i?:;na?i?;na??-i?:?;na??-i?:?;;;na??-i?:?;na?:-i?:;na???a?-do?mbe??;na??a?-do?mbe?;;na?a? i?i?, ??li?i? na?a?;;na?a?gu? e?gu?;na?:-??d??;na?-yye?\\-mu?;na?:mbi?:\\na?:mbu?:;i?:?g?? (Ningo);na?: we?:;;na?:-be?;na?: we?:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;3;cow;vache;00008;;;old;;cow (female);vache;2;na??a?-ya?;na?: ya?-m;;na??a? ya?:;;na?ana;na??a?-na?:;;;;na??a? na?:;na?: ya?:;;;;na?a? ya?a?;;;;na?: y??\\-mu?;n??: y??:\\na?wo?: ya?wo?:;u?na?;na?: y??:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;4;cow;vache;00009;;;old;;cow that has calved at least once;vache qui a mis bas au moins une fois;3;na??a?-ya?-na?:;na?: na?:-m;na?:-ya?-m\\na?:-ya?:, ha?:???-m\\ha?:???;na??a? de?:;;;;;;;;xxx;;;;na?a? na?la?a?-d??;;;;na?:-ni?:\\-mu?;;a?:na?;na?: gu?la?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
animal;cattle;animal;bovin;1;4;5;cow;vache;00010;;;old;;cow (with a calf);vache (avec un veau);3;;na?: ya?yo?-m;;na??a? yi?: de?:;;na?ana;na??a?-na?:;;;;;na?:-i?: na?:;;;;na?a? i?i? na?a?;;;;;n??: ya?-ye?\\na?wo?: ya?-y-mbo?;a?mba?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
